timestamp_s,elapsed_s,memory_current_bytes,memory_high_bytes,memory_max_bytes,evt_low,evt_high,evt_max,evt_oom,evt_oom_kill,anon_bytes,file_bytes,pgfault,pgmajfault,pod_memory_min_bytes
1773698228.900922293,193.579973238,527659008,483180544,536870912,0,8210,0,0,0,525832192,0,130472,7,268435456
1773698230.915758565,195.594809510,527675392,483180544,536870912,0,8278,0,0,0,526106624,0,130539,7,268435456
1773698232.930511167,197.609562112,527429632,483180544,536870912,0,8329,0,0,0,526118912,0,130542,7,268435456
1773698234.945163199,199.624214144,527446016,483180544,536870912,0,8397,0,0,0,526135296,0,130546,7,268435456
1773698236.959589440,201.638640385,527458304,483180544,536870912,0,8448,0,0,0,526151680,0,130550,7,268435456
1773698238.975854388,203.654905333,528248832,483180544,536870912,0,8516,0,0,0,526422016,0,130616,7,268435456
1773698240.990574342,205.669625287,528519168,483180544,536870912,0,8567,0,0,0,527212544,0,130809,7,268435456
1773698243.009099288,207.688150233,528793600,483180544,536870912,0,8635,0,0,0,527224832,0,130812,7,268435456
1773698245.023699548,209.702750493,528547840,483180544,536870912,0,8686,0,0,0,527241216,0,130816,7,268435456
1773698247.038103304,211.717154249,528564224,483180544,536870912,0,8754,0,0,0,527253504,0,130819,7,268435456
1773698249.052370290,213.731421235,528576512,483180544,536870912,0,8805,0,0,0,527269888,0,130823,7,268435456
1773698251.066438277,215.745489222,528592896,483180544,536870912,0,8873,0,0,0,527282176,0,130826,7,268435456
1773698253.081085126,217.760136071,528863232,483180544,536870912,0,8924,0,0,0,527298560,0,130830,7,268435456
1773698255.095487215,219.774538160,528621568,483180544,536870912,0,8992,0,0,0,527310848,0,130833,7,268435456
1773698257.110466668,221.789517613,528891904,483180544,536870912,0,9043,0,0,0,527585280,0,130900,7,268435456
1773698259.127351726,223.806402671,528904192,483180544,536870912,0,9094,0,0,0,527597568,0,130903,7,268435456
1773698261.142223309,225.821274254,529174528,483180544,536870912,0,9145,0,0,0,527609856,0,130906,7,268435456
1773698263.156037697,227.835088642,528932864,483180544,536870912,0,9213,0,0,0,527622144,0,130909,7,268435456
1773698265.170749437,229.849800382,528945152,483180544,536870912,0,9264,0,0,0,527638528,0,130913,7,268435456
1773698267.185314197,231.864365142,528957440,483180544,536870912,0,9315,0,0,0,527650816,0,130916,7,268435456
1773698269.200181009,233.879231954,528969728,483180544,536870912,0,9366,0,0,0,527663104,0,130919,7,268435456
1773698271.215445112,235.894496057,528982016,483180544,536870912,0,9417,0,0,0,527671296,0,130921,7,268435456
